# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster130     COVAR   16076       3.5267    0.0046818       5.3592      0.25525
Cluster131     COVAR   16076       3.3453    0.0046737       5.1658      0.25863
Cluster132     COVAR   16076       1.2022    0.0019158       4.4365      0.39321
Cluster133     COVAR   16076       7.1669    0.0092151        5.581     0.099552
Cluster134     COVAR   16076        11.19     0.017631       4.6301    0.0078372
Cluster135     COVAR   16076       5.4734     0.010878       3.6525     0.067008
Cluster136     COVAR   16076       6.4642     0.011708       3.7919     0.044131
Cluster137     COVAR   16076       3.1262    0.0050005       4.4886      0.24307
Cluster138     COVAR   16076        6.961     0.011841       4.1338     0.046107
Cluster139     COVAR   16076       4.8104    0.0073418       4.6696      0.15148
Cluster14      COVAR   16076      0.27725    0.0020233      0.94112      0.38415
Cluster140     COVAR   16076       8.1453     0.011269       5.1966      0.05852
Cluster141     COVAR   16076       15.401     0.022187       5.0371    0.0011183
Cluster142     COVAR   16076      0.42417   0.00085728       3.7182      0.45459
Cluster143     COVAR   16076       10.887       0.0171       4.5932    0.0088943
Cluster144     COVAR   16076       11.384     0.016645       4.9865     0.011221
Cluster145     COVAR   16076       2.6604    0.0044832       4.1698      0.26174
Cluster146     COVAR   16076        3.526    0.0048438       5.2315      0.25016
Cluster147     COVAR   16076       5.8535    0.0074784       5.5422      0.14545
Cluster148     COVAR   16076        6.044    0.0082323       5.2424      0.12448
Cluster149     COVAR   16076        6.847    0.0092758       5.2018     0.094053
Cluster15      COVAR   16076      0.22148    0.0017129      0.90871      0.40372
Cluster150     COVAR   16076      -1.2684   -0.0025997       3.3576       0.6472
Cluster151     COVAR   16076         -2.4    -0.004638       3.6205       0.7463
Cluster152     COVAR   16076        0.277   0.00066507       2.9469      0.46256
Cluster153     COVAR   16076      -3.0972   -0.0056509       3.7146      0.79779
Cluster154     COVAR   16076      -2.2921   -0.0040362       3.9139      0.72093
Cluster155     COVAR   16076      -1.2404   -0.0016639       5.3463      0.59173
Cluster156     COVAR   16076      -7.2908    -0.011171       4.5627      0.94496
Cluster157     COVAR   16076       -6.204    -0.011749       4.0307      0.93811
Cluster158     COVAR   16076      -3.5075   -0.0050241       4.9518      0.76063
Cluster159     COVAR   16076      -3.6555    -0.005574       4.5876      0.78722
Cluster16      COVAR   16076    -0.025876  -0.00016396        1.092      0.50945
Cluster160     COVAR   16076      -1.7646   -0.0037353       3.0801      0.71665
Cluster161     COVAR   16076      -1.6934   -0.0034888       3.2391      0.69944
Cluster162     COVAR   16076      -5.9686   -0.0095276       4.4144      0.91181
Cluster163     COVAR   16076       1.0431    0.0019751       3.7206       0.3896
Cluster164     COVAR   16076        5.367     0.010281       3.5713     0.066456
Cluster165     COVAR   16076       3.6411    0.0069857       3.6144      0.15689
Cluster166     COVAR   16076       6.0589     0.011602       3.6556     0.048729
Cluster167     COVAR   16076       1.0078    0.0016508       4.3924      0.40927
Cluster168     COVAR   16076       6.4555     0.012332       3.9249      0.05002
Cluster169     COVAR   16076      -2.8938    -0.005157       3.8322      0.77491
Cluster17      COVAR   16076      0.74188    0.0065923      0.77079      0.16791
Cluster170     COVAR   16076       3.7008    0.0056941        4.576      0.20934
Cluster171     COVAR   16076       3.5585    0.0076451       3.2726      0.13844
Cluster172     COVAR   16076       11.392     0.019133       4.2603    0.0037525
Cluster173     COVAR   16076       6.0603     0.012658       3.2893     0.032716
Cluster174     COVAR   16076       3.5925     0.006192       4.1317       0.1923
Cluster175     COVAR   16076       8.6139     0.014204       4.4075     0.025339
Cluster176     COVAR   16076       1.8301    0.0037477       3.4044      0.29544
Cluster177     COVAR   16076       11.815     0.016632       5.1129      0.01043
Cluster178     COVAR   16076       6.9653     0.011273       4.2486     0.050573
Cluster179     COVAR   16076      0.42988   0.00067744       4.3986      0.46107
Cluster18      COVAR   16076      0.20537    0.0018785      0.75826      0.39326
Cluster180     COVAR   16076      0.52417    0.0012031       3.0633      0.43207
Cluster181     COVAR   16076       2.1452    0.0040564       3.6972      0.28089
Cluster182     COVAR   16076      -1.5393   -0.0033904       3.1532      0.68728
Cluster183     COVAR   16076       1.5349    0.0027807       3.8777      0.34612
Cluster184     COVAR   16076     -0.82129   -0.0020667       2.6284      0.62265
Cluster185     COVAR   16076      0.50548   0.00088477       3.9229      0.44874
Cluster186     COVAR   16076      0.99034    0.0020016       3.4219      0.38614
Cluster187     COVAR   16076      0.48221   0.00077011       4.3993      0.45636
Cluster188     COVAR   16076      -2.0907   -0.0033942       4.2411      0.68898
Cluster189     COVAR   16076       -1.584    -0.003443       3.1665      0.69154
Cluster19      COVAR   16076    -0.060766  -0.00042502       0.9625      0.52517
Cluster190     COVAR   16076      -3.2165   -0.0081678       2.6603      0.88667
Cluster191     COVAR   16076      -1.3427   -0.0027324       3.3612      0.65522
Cluster192     COVAR   16076      -1.6805   -0.0042217       2.7111      0.73232
Cluster193     COVAR   16076      -5.3367   -0.0097215       3.7191      0.92434
