# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster293     COVAR   16361        7.646     0.012817       5.3103     0.074969
Cluster294     COVAR   16361       17.851     0.025416       6.2557    0.0021646
Cluster295     COVAR   16361       12.324     0.022868       4.8571    0.0055898
Cluster296     COVAR   16361        15.79      0.02518       5.6003    0.0024077
Cluster297     COVAR   16361       0.1394    0.0012662      0.88402      0.43735
Cluster298     COVAR   16361       5.2265     0.010828       4.1511      0.10402
Cluster299     COVAR   16361       3.4549     0.006795       4.5172      0.22219
Cluster3       COVAR   16361       -1.545    -0.023494       0.5716      0.99656
Cluster30      COVAR   16361      -3.8886    -0.018377       1.7959      0.98481
Cluster300     COVAR   16361        4.316    0.0099441       3.8885      0.13352
Cluster301     COVAR   16361        10.06     0.023093       3.7246    0.0034606
Cluster302     COVAR   16361      -2.3305   -0.0073624       2.7408      0.80242
Cluster303     COVAR   16361       1.0507    0.0032091       2.7786      0.35267
Cluster304     COVAR   16361       8.3308     0.020156       3.4637    0.0080885
Cluster305     COVAR   16361       7.5012      0.01877       3.3911     0.013489
Cluster306     COVAR   16361       12.259     0.026397       4.0835    0.0013428
Cluster307     COVAR   16361       8.5761     0.017356       4.3429     0.024158
Cluster308     COVAR   16361       3.7222    0.0094838       3.4723      0.14188
Cluster309     COVAR   16361       12.365     0.024983       4.2856    0.0019591
Cluster31      COVAR   16361      -4.5024     -0.02812        1.371      0.99949
Cluster310     COVAR   16361       9.1161     0.022758        3.592    0.0055816
Cluster311     COVAR   16361       7.2456     0.021476       3.0251    0.0083124
Cluster312     COVAR   16361       5.2541     0.017283       2.8092     0.030732
Cluster313     COVAR   16361      -1.3232   -0.0051728       2.2338       0.7232
Cluster314     COVAR   16361       -0.363   -0.0021314       1.3971      0.60249
Cluster315     COVAR   16361       3.8638    0.0072594       4.5036      0.19547
Cluster316     COVAR   16361      -2.6706    -0.007145       3.2836      0.79197
Cluster317     COVAR   16361      -3.2043   -0.0078497       3.7075      0.80627
Cluster318     COVAR   16361      -3.4405   -0.0074453       4.0404      0.80276
Cluster319     COVAR   16361     -0.60654   -0.0012818       4.0738      0.55918
Cluster32      COVAR   16361     -0.66328   -0.0019412        3.107      0.58452
Cluster320     COVAR   16361      -1.8714   -0.0044021       3.7685      0.69025
Cluster321     COVAR   16361      0.21569   0.00042467       4.3604      0.48027
Cluster322     COVAR   16361      -1.2354   -0.0033882        3.101      0.65483
Cluster323     COVAR   16361       6.1866     0.011789       4.6642     0.092363
Cluster324     COVAR   16361       1.9818    0.0037914       4.8654      0.34189
Cluster325     COVAR   16361       2.2672    0.0041569       4.9539       0.3236
Cluster326     COVAR   16361       6.1648     0.011777       4.7507      0.09721
Cluster327     COVAR   16361       4.8807    0.0082894       5.2773      0.17753
Cluster328     COVAR   16361       11.594     0.019666        5.262      0.01379
Cluster329     COVAR   16361        16.29       0.0249        5.919    0.0029649
Cluster33      COVAR   16361       5.3276     0.013668       3.4594     0.061789
Cluster330     COVAR   16361       4.0757    0.0075336       4.9688      0.20604
Cluster331     COVAR   16361       14.779     0.025881       4.8151     0.001075
Cluster332     COVAR   16361        12.53     0.020129       5.5996     0.012628
Cluster333     COVAR   16361       8.7442      0.01823       4.2927     0.020834
Cluster334     COVAR   16361       3.7934     0.012305        2.715     0.081188
Cluster335     COVAR   16361       2.5108    0.0069315       3.1902      0.21564
Cluster336     COVAR   16361      -3.8714    -0.010105       3.2481      0.88334
Cluster337     COVAR   16361      -1.8645    -0.004825       3.3073      0.71353
Cluster338     COVAR   16361       -2.589   -0.0067715       3.3988      0.77689
Cluster339     COVAR   16361       7.6712     0.013215       4.9008     0.058769
