# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster109     COVAR    166   16333       25.772     0.034619        7.258   0.00019271
Cluster267     COVAR    166   16333       30.353     0.043712       6.7512   3.4917e-06
Cluster109     COVAR    167   16333        26.01      0.03494       7.2517   0.00016798
Cluster268     COVAR    167   16333       29.139     0.043182       6.5089   3.8212e-06
Cluster109     COVAR    168   16333       24.614     0.033064       7.2563    0.0003478
Cluster269     COVAR    168   16333       41.075     0.054227       7.2959   9.2004e-09
Cluster109     COVAR    169   16333       24.775     0.033281       7.2434   0.00031361
Cluster270     COVAR    169   16333       38.656     0.058373       6.4199   8.8884e-10
Cluster109     COVAR    170   16333       24.065     0.032327       7.2758   0.00047183
Cluster271     COVAR    170   16333       36.975       0.0531       6.7782   2.4939e-08
Cluster109     COVAR    171   16333       27.327     0.036709       7.2181   7.6901e-05
Cluster272     COVAR    171   16333       25.209     0.045581       5.4508   1.8926e-06
Cluster109     COVAR    172   16333       23.731     0.031877       7.2522   0.00053501
Cluster273     COVAR    172   16333       47.988     0.064156       7.2963   2.4916e-11
Cluster109     COVAR    173   16333       24.266     0.032597       7.2873   0.00043561
Cluster274     COVAR    173   16333       33.304     0.048616       6.6805   3.1351e-07
Cluster109     COVAR    174   16333       24.973     0.033546       7.2498   0.00028684
