# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster405     COVAR   16365       12.478     0.015407       5.8314     0.016195
Cluster406     COVAR   16365       2.9639    0.0051794       4.2959      0.24512
Cluster407     COVAR   16365       5.2873    0.0068804       5.6377      0.17417
Cluster408     COVAR   16365     -0.26069  -0.00077185       2.3493      0.54418
Cluster409     COVAR   16365     -0.84422   -0.0023464       2.5095      0.63172
Cluster41      COVAR   16365      0.63102    0.0015674       2.8933      0.41368
Cluster410     COVAR   16365       2.1774    0.0050057       3.2166      0.24923
Cluster411     COVAR   16365       4.2925      0.01005       3.1272     0.084944
Cluster412     COVAR   16365      -3.0193    -0.007786       2.9638      0.84582
Cluster413     COVAR   16365      -1.9535   -0.0044452        3.243      0.72653
Cluster414     COVAR   16365      0.10119   0.00024302       3.1341      0.48712
Cluster415     COVAR   16365       1.5952    0.0026488       4.1796      0.35136
Cluster416     COVAR   16365       4.2176    0.0076777       4.1017      0.15193
Cluster417     COVAR   16365       6.1407    0.0097789       4.3864     0.080776
Cluster418     COVAR   16365      0.06153     0.000126       3.5405      0.49307
Cluster419     COVAR   16365       4.5605    0.0059916       5.1605      0.18843
Cluster42      COVAR   16365       2.3739    0.0058648         2.94      0.20971
Cluster420     COVAR   16365       7.6784     0.012133       4.3456     0.038631
Cluster421     COVAR   16365       5.1219    0.0081277       4.5658      0.13098
Cluster422     COVAR   16365       12.176     0.015587       5.6103     0.015004
Cluster423     COVAR   16365       17.758     0.019766       6.6131    0.0036274
Cluster424     COVAR   16365        15.28     0.017734         6.18    0.0067149
Cluster425     COVAR   16365       8.6296     0.010723       5.6972     0.064936
Cluster426     COVAR   16365       21.421     0.023769       6.3982   0.00040821
Cluster427     COVAR   16365       2.8962    0.0038104       5.5784      0.30182
Cluster428     COVAR   16365       15.641     0.020133       5.6899    0.0029942
Cluster429     COVAR   16365       7.9992     0.011974       4.9263     0.052221
Cluster43      COVAR   16365       1.4774    0.0044286       2.3465      0.26449
Cluster430     COVAR   16365     -0.76005    -0.001217       4.6366       0.5651
Cluster431     COVAR   16365      -5.7112    -0.015641       2.7159      0.98225
Cluster432     COVAR   16365     -0.17197  -0.00061266       2.1026      0.53259
Cluster433     COVAR   16365       4.7501    0.0095641        3.529     0.089161
