# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster142     COVAR   16076      -7.3094    -0.014773       4.0134       0.9657
Cluster143     COVAR   16076      -8.0944    -0.012713       4.9348      0.94951
Cluster144     COVAR   16076      -3.9964   -0.0058432       5.3378      0.77297
Cluster145     COVAR   16076      -8.0137    -0.013504       4.5155      0.96201
Cluster146     COVAR   16076      -2.3087   -0.0031716       5.6113      0.65962
Cluster147     COVAR   16076      -5.0873   -0.0064996       5.9656       0.8031
Cluster148     COVAR   16076      -4.3742   -0.0059579       5.6415      0.78093
Cluster149     COVAR   16076      -2.3689   -0.0032092       5.5875       0.6642
Cluster15      COVAR   16076      0.29659    0.0022938      0.97752      0.38079
Cluster150     COVAR   16076      0.25393   0.00052043       3.6203      0.47204
Cluster151     COVAR   16076       1.0948    0.0021157       3.8664      0.38853
Cluster152     COVAR   16076      -1.3049   -0.0031332       3.0682      0.66469
Cluster153     COVAR   16076      -3.3985   -0.0062007       4.0027      0.80207
Cluster154     COVAR   16076      -1.4088   -0.0024807       4.1721      0.63219
Cluster155     COVAR   16076      -4.1623   -0.0055834       5.7282      0.76627
Cluster156     COVAR   16076      -4.6181   -0.0070759       4.9072      0.82666
Cluster157     COVAR   16076      -8.2893    -0.015698        4.333      0.97212
Cluster158     COVAR   16076      -2.3265   -0.0033324       5.3317       0.6687
Cluster159     COVAR   16076        -1.31   -0.0019975       4.9412      0.60454
Cluster16      COVAR   16076      0.59495    0.0037699       1.1751      0.30633
Cluster160     COVAR   16076      -4.5131    -0.009553       3.1823      0.92192
Cluster161     COVAR   16076      0.77364    0.0015939       3.4865       0.4122
Cluster162     COVAR   16076      -5.2037   -0.0083066       4.7483      0.86343
Cluster163     COVAR   16076      -1.9932    -0.003774            4      0.69086
Cluster164     COVAR   16076       2.8837    0.0055241       3.8877      0.22913
Cluster165     COVAR   16076       2.4099    0.0046235       3.9161      0.26916
Cluster166     COVAR   16076        2.274    0.0043544       3.9467      0.28225
Cluster167     COVAR   16076       1.3685    0.0022416       4.7297      0.38616
Cluster168     COVAR   16076         4.11    0.0078516       4.2211      0.16512
Cluster169     COVAR   16076      -1.3911   -0.0024791       4.1727      0.63057
Cluster17      COVAR   16076      0.61165    0.0054351      0.82944      0.23044
Cluster170     COVAR   16076       1.0519    0.0016185       4.9567      0.41597
Cluster171     COVAR   16076       5.7302     0.012311       3.5541     0.053464
Cluster172     COVAR   16076       4.3661    0.0073332       4.6332      0.17301
Cluster173     COVAR   16076       3.1417    0.0065618       3.5848      0.19041
Cluster174     COVAR   16076      0.28381   0.00048917        4.455       0.4746
Cluster175     COVAR   16076       6.3379     0.010451       4.7617     0.091605
Cluster176     COVAR   16076      -5.0651    -0.010372       3.6595      0.91682
Cluster177     COVAR   16076       2.7406     0.003858       5.4965      0.30903
Cluster178     COVAR   16076       2.8425    0.0046004       4.5585      0.26647
Cluster179     COVAR   16076       5.3757    0.0084713       4.7358      0.12817
Cluster18      COVAR   16076      0.59395    0.0054327      0.81508       0.2331
Cluster180     COVAR   16076       3.5979    0.0082581       3.3007      0.13786
Cluster181     COVAR   16076       4.1463    0.0078402       3.9921       0.1495
Cluster182     COVAR   16076        1.383    0.0030461       3.4101      0.34254
Cluster183     COVAR   16076       1.7459    0.0031628       4.1888      0.33842
Cluster184     COVAR   16076      -3.9754    -0.010004       2.8483      0.91858
Cluster185     COVAR   16076      -0.6058   -0.0010604       4.2405       0.5568
Cluster186     COVAR   16076     -0.71724   -0.0014496       3.6955      0.57694
Cluster187     COVAR   16076       1.3411    0.0021418       4.7376      0.38856
Cluster188     COVAR   16076       2.0204      0.00328       4.5699      0.32921
Cluster189     COVAR   16076       2.8875    0.0062764       3.3989       0.1978
Cluster19      COVAR   16076      0.16154    0.0011299       1.0308      0.43773
Cluster190     COVAR   16076      -1.3805   -0.0035055       2.8551      0.68563
