# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster164     COVAR   16076      -0.9178   -0.0017582       3.9052       0.5929
Cluster165     COVAR   16076      -7.5712    -0.014526       3.9488      0.97239
Cluster166     COVAR   16076      -3.6779   -0.0070426       3.9944      0.82141
Cluster167     COVAR   16076      -4.3292   -0.0070914       4.8053      0.81618
Cluster168     COVAR   16076      -4.9148   -0.0093891        4.292      0.87391
Cluster169     COVAR   16076      -6.3219    -0.011266       4.2307      0.93244
Cluster17      COVAR   16076      0.22715    0.0020184      0.84681      0.39426
Cluster170     COVAR   16076      -5.0888   -0.0078297       4.9955      0.84582
Cluster171     COVAR   16076       1.1735    0.0025212       3.5764      0.37141
Cluster172     COVAR   16076      0.12849   0.00021581       4.6619      0.48901
Cluster173     COVAR   16076      -1.3778   -0.0028777       3.5972      0.64914
Cluster174     COVAR   16076     -0.44696  -0.00077036        4.527      0.53932
Cluster175     COVAR   16076       1.5831    0.0026105       4.8197      0.37128
Cluster176     COVAR   16076     -0.92913   -0.0019027       3.7228      0.59854
Cluster177     COVAR   16076      -2.6689    -0.003757       5.5943      0.68334
Cluster178     COVAR   16076       2.4563    0.0039754       4.6496      0.29866
Cluster179     COVAR   16076     -0.74963   -0.0011813       4.8331      0.56163
Cluster18      COVAR   16076       1.0879    0.0099506      0.83027     0.095059
Cluster180     COVAR   16076      -3.7538   -0.0086159       3.3551      0.86838
Cluster181     COVAR   16076      -4.5758   -0.0086523       4.0516      0.87062
Cluster182     COVAR   16076      -4.3072    -0.009487       3.4241      0.89577
Cluster183     COVAR   16076     -0.69688   -0.0012625       4.2434      0.56522
Cluster184     COVAR   16076      -2.7521   -0.0069257       2.8751      0.83077
Cluster185     COVAR   16076      0.58699    0.0010275       4.2878      0.44556
Cluster186     COVAR   16076      -6.6642    -0.013469       3.7533      0.96209
Cluster187     COVAR   16076       -3.632   -0.0058005       4.8273      0.77408
Cluster188     COVAR   16076     -0.67734   -0.0010996       4.5262      0.55948
Cluster189     COVAR   16076      -1.3237   -0.0028772       3.4655      0.64875
Cluster19      COVAR   16076     -0.11419  -0.00079872       1.0539      0.54314
Cluster190     COVAR   16076      0.43946    0.0011159       2.9126      0.44004
Cluster191     COVAR   16076     -0.72088    -0.001467       3.6752      0.57775
Cluster192     COVAR   16076       -1.214   -0.0030498       2.9649       0.6589
Cluster193     COVAR   16076      -1.3878   -0.0025281       4.0659      0.63357
Cluster194     COVAR   16076       1.3197      0.00283       3.4493      0.35101
Cluster195     COVAR   16076      -3.1126   -0.0062488       3.4895      0.81379
Cluster196     COVAR   16076     -0.13634  -0.00024649       4.1151      0.51321
Cluster197     COVAR   16076      -3.6245   -0.0065813       4.2149      0.80508
Cluster198     COVAR   16076      -1.1353   -0.0021066       4.1182       0.6086
Cluster199     COVAR   16076      -2.6515   -0.0068506       2.8674      0.82244
Cluster2       COVAR   16076      0.64923     0.010173      0.47393     0.085373
Cluster20      COVAR   16076     -0.78351   -0.0050635       1.1469      0.75273
Cluster200     COVAR   16076      -3.1174   -0.0064524       3.6294      0.80481
